schema_version	status	latest	organism	assembly	upstream	downstream	jaspar_release	tax_group	background_version	artifact	artifact_sha256	motif_count	promoter_count	annotation_hash	promoter_hash	motif_hash	annotation_snapshot	annotation_source	annotation_retrieved_at	scoring_spec	pscanr_version	pscanr_commit	bioc_version	generated_at
1	validated	TRUE	at	TAIR9	950	50	2022	plants	1	BG_files/J2022_TAIR9_950u_50d_TAIR.psbg1.txt	f04c6c37809a7550fa634e2080497788dca6955b0ad9644ab10c8afd55622fd2	656	36406					raw_data/TAIR9_GFF3_genes.gff		pscan-best-hit-v1				
1	validated	TRUE	at	TAIR9	1000	0	2022	plants	1	BG_files/J2022_TAIR9_1000u_0d_TAIR.psbg1.txt	e64cb7a5d71fc9cd42e80f7a4926c01335d0fba80d78cad52e572b679f8e8a19	656	36405					raw_data/TAIR9_GFF3_genes.gff		pscan-best-hit-v1				
1	validated	TRUE	dm	dm6	200	50	2024	insects	1	BG_files/J2024_dm6_200u_50d_UCSC.psbg1.txt	3ab838ce7f3b78c82350afc42b7fb17a02f7972b9b838004769c33c18e8ed1b9	286	22400					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	dm	dm6	450	50	2024	insects	1	BG_files/J2024_dm6_450u_50d_UCSC.psbg1.txt	9094990dcae56bed324ee64ba7f0be5d5d808c7bf6fbcb35447db3a022f8e481	286	22454					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	dm	dm6	500	0	2024	insects	1	BG_files/J2024_dm6_500u_0d_UCSC.psbg1.txt	94a8639ce9d5a837fa28cd6f2f2d44fb7fcc4a142f7df2171e8367501f6a583a	286	22460					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	dm	dm6	950	50	2024	insects	1	BG_files/J2024_dm6_950u_50d_UCSC.psbg1.txt	1ed139ce227312cc49344a188cea6451a7afb43e58f2f35a77e5d1c23f584af6	286	22511					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	dm	dm6	1000	0	2024	insects	1	BG_files/J2024_dm6_1000u_0d_UCSC.psbg1.txt	79f0fd1cedde60e3ec6c2ce4645cd20bb3bb956fb0dd68a8834b50e508099f4c	286	22513					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	hs	hg38	200	50	2024	vertebrates	1	BG_files/J2024_hg38_200u_50d_UCSC.psbg1.txt	db173960a7e97f616ed60b19db917bfbe8e28969ace0b6ed6c6a3cb3eae37249	879	39438					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	hs	hg38	450	50	2024	vertebrates	1	BG_files/J2024_hg38_450u_50d_UCSC.psbg1.txt	db59de5123b1fa4c472828068525023b194d8c83606735dae82d4b027ab20ee3	879	39518					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	hs	hg38	500	0	2024	vertebrates	1	BG_files/J2024_hg38_500u_0d_UCSC.psbg1.txt	4ee7e90ed525d1a0899286f2f3b434c9d9634978a0a13b158b6eb89bfc5868db	879	39524					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	hs	hg38	950	50	2024	vertebrates	1	BG_files/J2024_hg38_950u_50d_UCSC.psbg1.txt	0749113451626b6a4e1cc3c50453ae364ba8ce80e48a5232c4be46d409104aa1	879	39583					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	hs	hg38	1000	0	2024	vertebrates	1	BG_files/J2024_hg38_1000u_0d_UCSC.psbg1.txt	50a7287f0c06e147fa1cd3ba1a9b66da8f0e609895e2c4dee1884526dae85716	879	39581					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	hs	hs1	200	50	2024	vertebrates	1	BG_files/J2024_hs1_200u_50d_UCSC.psbg1.txt	3b85d10ab2c9f15a96cfecc29e50df8141ac8353a6cfc89056f9bbb69a89bdfc	879	39405					raw_data/GCF_009914755.1_T2T-CHM13v2.0_genomic.gff.gz		pscan-best-hit-v1				
1	validated	TRUE	hs	hs1	450	50	2024	vertebrates	1	BG_files/J2024_hs1_450u_50d_UCSC.psbg1.txt	addf66427619426d03866c3179507fe3f904a752afb1e0578300da1c90990038	879	39500					raw_data/GCF_009914755.1_T2T-CHM13v2.0_genomic.gff.gz		pscan-best-hit-v1				
1	validated	TRUE	hs	hs1	500	0	2024	vertebrates	1	BG_files/J2024_hs1_500u_0d_UCSC.psbg1.txt	595e56b32ae7dd23f7947301cdb11e1236f614f00cb022a7b6e10268a5eec90f	879	39503					raw_data/GCF_009914755.1_T2T-CHM13v2.0_genomic.gff.gz		pscan-best-hit-v1				
1	validated	TRUE	hs	hs1	950	50	2024	vertebrates	1	BG_files/J2024_hs1_950u_50d_UCSC.psbg1.txt	92d5591b9828d1a2a4a6b1767c9b691318204ff49eec416640237d5c6a499b53	879	39591					raw_data/GCF_009914755.1_T2T-CHM13v2.0_genomic.gff.gz		pscan-best-hit-v1				
1	validated	TRUE	hs	hs1	1000	0	2024	vertebrates	1	BG_files/J2024_hs1_1000u_0d_UCSC.psbg1.txt	664a473f02cd1cfd9f740193139190b6b2cfcb7de9768316126e05c79df5aee6	879	39591					raw_data/GCF_009914755.1_T2T-CHM13v2.0_genomic.gff.gz		pscan-best-hit-v1				
1	validated	TRUE	mm	mm10	200	50	2024	vertebrates	1	BG_files/J2024_mm10_200u_50d_UCSC.psbg1.txt	38d1721106ec15793be10262c322db0bd06e66961e8ac04e3bcbc6a8909af2e4	879	31383					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	mm	mm10	450	50	2024	vertebrates	1	BG_files/J2024_mm10_450u_50d_UCSC.psbg1.txt	3c7e792a23731457052d5c71ed06792e841675405fa31fcdf0c197591f94f80a	879	31440					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	mm	mm10	500	0	2024	vertebrates	1	BG_files/J2024_mm10_500u_0d_UCSC.psbg1.txt	81b0e96df920814420cb2f42b483ccd91282095f746657e889c6fc708a301352	879	31443					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	mm	mm10	950	50	2024	vertebrates	1	BG_files/J2024_mm10_950u_50d_UCSC.psbg1.txt	ce87164feb7d913b946787d571d550c48ff531e971f2a5c2f0c8c461da2bd207	879	31504					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	mm	mm10	1000	0	2024	vertebrates	1	BG_files/J2024_mm10_1000u_0d_UCSC.psbg1.txt	6fd8ac4e3e14732f4d49cba09354c9448108a3f102291d8d3ce6b8eee2f3844e	879	31508					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	mm	mm39	200	50	2024	vertebrates	1	BG_files/J2024_mm39_200u_50d_UCSC.psbg1.txt	24ef8d4118634075dea8baa604488a2081d8cc6cd9b94faa5ba94f072969c1d4	879	33248					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	mm	mm39	450	50	2024	vertebrates	1	BG_files/J2024_mm39_450u_50d_UCSC.psbg1.txt	e608a4c6722a5a60f76c0970bd9b594e16a5fc930965cb1ce03dc6774e8a5528	879	33308					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	mm	mm39	500	0	2024	vertebrates	1	BG_files/J2024_mm39_500u_0d_UCSC.psbg1.txt	51fe5f119cecb30a0ee3b527106773e2f528d9dd24c0aec1eb424ca107fb4c0e	879	33312					ncbiRefSeqCurated		pscan-best-hit-v1				
1	validated	TRUE	mm	mm39	950	50	2024	vertebrates	1	BG_files/J2024_mm39_950u_50d_UCSC.psbg1.txt	7a54a49e0b102f228e80ddbeb7c58f16bc3c0ac7702cf68c4b0c8cfd9f9bd6a7	879	33374					ncbiRefSeqCurated		pscan-best-hit-v1				
